Student Name,Exam Number,Subject,Score,Grade,Position,Remarks,Teacher
John Banda,MS101,Agriculture,78,B,3,Good,Mr. Phiri
John Banda,MS101,English,85,A,1,Excellent,Ms. Mbewe
John Banda,MS101,Mathematics,72,B,4,Good,Mr. Zulu
Mary Chirwa,MS102,Agriculture,65,C,5,Fair,Mr. Phiri
Mary Chirwa,MS102,English,70,B,4,Good,Ms. Mbewe
Mary Chirwa,MS102,Mathematics,68,C,5,Fair,Mr. Zulu
Peter Jere,MS103,Agriculture,90,A,1,Excellent,Mr. Phiri
Peter Jere,MS103,English,88,A,2,Excellent,Ms. Mbewe
Peter Jere,MS103,Mathematics,91,A,1,Excellent,Mr. Zulu
Grace Mwale,MS104,Agriculture,55,D,8,Needs Improvement,Mr. Phiri
Grace Mwale,MS104,English,60,C,7,Fair,Ms. Mbewe
Grace Mwale,MS104,Mathematics,58,D,8,Needs Improvement,Mr. Zulu
...
